search_term,page_number,link,pid,lid
bags for girls,1,https://www.flipkart.com/creative-prod-bts-backpack-k-pop-casual-daypack-laptop-bag-college-school-waterproof/p/itm986422e7858da?pid=BAGH4V5DXTGA2HNJ&lid=LSTBAGH4V5DXTGA2HNJ2OIJW4&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_29&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGH4V5DXTGA2HNJ.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGH4V5DXTGA2HNJ,LSTBAGH4V5DXTGA2HNJ2OIJW4
bags for girls,1,https://www.flipkart.com/ls-enterprises-unicorn-soft-fur-bag-kids-school-picnic-multicolor/p/itm9929aec57b709?pid=BAGGK2GEJVPBCVYG&lid=LSTBAGGK2GEJVPBCVYGERX1RX&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_30&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGK2GEJVPBCVYG.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGK2GEJVPBCVYG,LSTBAGGK2GEJVPBCVYGERX1RX
bags for girls,1,https://www.flipkart.com/khatushyam-collection-blck-fshn-1pc-6-30-l-backpack/p/itm02ca18a1ee3b7?pid=BKPGYEF7EHGZUEY8&lid=LSTBKPGYEF7EHGZUEY8I6ARAS&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_31&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPGYEF7EHGZUEY8.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPGYEF7EHGZUEY8,LSTBKPGYEF7EHGZUEY8I6ARAS
bags for girls,1,https://www.flipkart.com/inaxa-stylish-cute-mini-3pcs-combo-set-girls-5-l-backpack/p/itm420edcb9c5333?pid=BKPG9YHGSCGG5GRY&lid=LSTBKPG9YHGSCGG5GRYIWQHLT&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_32&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPG9YHGSCGG5GRY.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPG9YHGSCGG5GRY,LSTBKPG9YHGSCGG5GRYIWQHLT
bags for girls,1,https://www.flipkart.com/ashcrafzee-school-bags-22-l-backpack/p/itma30c9122559f7?pid=BKPH28ZDCNAVGZBW&lid=LSTBKPH28ZDCNAVGZBW4W7C0W&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_33&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPH28ZDCNAVGZBW.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPH28ZDCNAVGZBW,LSTBKPH28ZDCNAVGZBW4W7C0W
bags for girls,1,https://www.flipkart.com/smd-women-trendy-combo-handbag-shoulder-college-bag-15-l-backpack/p/itm062f61cb97f03?pid=BKPG92T9Z6WPKYGE&lid=LSTBKPG92T9Z6WPKYGEMDMN3I&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_34&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BKPG92T9Z6WPKYGE.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BKPG92T9Z6WPKYGE,LSTBKPG92T9Z6WPKYGEMDMN3I
bags for girls,1,https://www.flipkart.com/evolic-new-design-girl-s-backpack-waterproof/p/itm8b2be8924c785?pid=BAGGWH7MMZJGUQKP&lid=LSTBAGGWH7MMZJGUQKPLHFWHN&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_35&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGWH7MMZJGUQKP.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGWH7MMZJGUQKP,LSTBAGGWH7MMZJGUQKPLHFWHN
bags for girls,1,https://www.flipkart.com/myron-barbie-1st-2nd-3rd-4th-5th-class-school-bag-lunch-combo-girls-waterproof/p/itma0ce9bcfac597?pid=BAGGVRKZPFMZTZYT&lid=LSTBAGGVRKZPFMZTZYTSBHCNE&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_36&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGVRKZPFMZTZYT.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGVRKZPFMZTZYT,LSTBAGGVRKZPFMZTZYTSBHCNE
bags for girls,1,https://www.flipkart.com/tinytot-sb118-02-school-backpack-college-bag-travel-pencil-pouch-2nd-standard-onward-waterproof/p/itm6b9211fda51f0?pid=BAGFSPMAZY3XZF9G&lid=LSTBAGFSPMAZY3XZF9GDBED1P&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_37&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGFSPMAZY3XZF9G.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGFSPMAZY3XZF9G,LSTBAGFSPMAZY3XZF9GDBED1P
bags for girls,1,https://www.flipkart.com/ayy-y21-school-bag/p/itmf4864fe457f78?pid=BAGGT7YN68QQSES5&lid=LSTBAGGT7YN68QQSES5WLQWP2&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_38&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGT7YN68QQSES5.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGT7YN68QQSES5,LSTBAGGT7YN68QQSES5WLQWP2
bags for girls,1,https://www.flipkart.com/hyper-adam-school-bags-girls-college-backpack-coaching-bag-tuition-waterproof/p/itmd0019aef29be3?pid=BAGGWHT2T3QT3YPR&lid=LSTBAGGWHT2T3QT3YPRDTIYYI&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_39&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGWHT2T3QT3YPR.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGWHT2T3QT3YPR,LSTBAGGWHT2T3QT3YPRDTIYYI
bags for girls,1,https://www.flipkart.com/kiyoa-collection-school-college-backpack-girls-waterproof-bag/p/itme8d96a8ae0789?pid=BAGGF2FHAFKRHRRY&lid=LSTBAGGF2FHAFKRHRRYF4UHX1&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_1_40&otracker=search&iid=3747d8f1-c9a7-4be0-afda-c58efd6a6a60.BAGGF2FHAFKRHRRY.SEARCH&ssid=phr5tc2nmo0000001737019182856&qH=92a1f0987694c9ff,BAGGF2FHAFKRHRRY,LSTBAGGF2FHAFKRHRRYF4UHX1
bags for girls,2,https://www.flipkart.com/imashna-2020-stylish-trendy-womens-girls-backpack-cute-looking-5-l/p/itm56d198dd42206?pid=BKPG35DJ976ZCCK3&lid=LSTBKPG35DJ976ZCCK316Q2XX&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_2_41&otracker=search&fm=organic&iid=38abdcab-0150-4e74-b50c-a39dc7df348c.BKPG35DJ976ZCCK3.SEARCH&ppt=sp&ppn=sp&ssid=0kb2bzbr5s0000001737019184577&qH=92a1f0987694c9ff,BKPG35DJ976ZCCK3,LSTBKPG35DJ976ZCCK316Q2XX
bags for girls,2,https://www.flipkart.com/beauty-girls-hotshot-platinum-series-limited-black-bag-women-waterproof-school-bag/p/itm5a62feda200b6?pid=BAGG7MEUFBUFFNQH&lid=LSTBAGG7MEUFBUFFNQHMVRVWP&marketplace=FLIPKART&q=bags+for+girls&store=search.flipkart.com&srno=s_2_42&otracker=search&fm=organic&iid=38abdcab-0150-4e74-b50c-a39dc7df348c.BAGG7MEUFBUFFNQH.SEARCH&ppt=sp&ppn=sp&ssid=0kb2bzbr5s0000001737019184577&qH=92a1f0987694c9ff,BAGG7MEUFBUFFNQH,LSTBAGG7MEUFBUFFNQHMVRVWP
