search_term,page_number,link,pid,lid
bags for men,1,https://www.flipkart.com/gear-vintage-2-leather-without-anti-theft-33-l-laptop-backpack/p/itmc008eaadfd274?pid=BKPGSHNPDBXCQZ49&lid=LSTBKPGSHNPDBXCQZ49K06UNU&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_22&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGSHNPDBXCQZ49.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGSHNPDBXCQZ49,LSTBKPGSHNPDBXCQZ49K06UNU
bags for men,1,https://www.flipkart.com/sbcollection-stylish-4-zipper-compartment-eventually-use-splash-dust-proof-65-l-backpack/p/itmc1a40fc0aaca3?pid=BKPGYCSXY3XGKTZD&lid=LSTBKPGYCSXY3XGKTZDGSMSRL&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_23&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGYCSXY3XGKTZD.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGYCSXY3XGKTZD,LSTBKPGYCSXY3XGKTZDGSMSRL
bags for men,1,https://www.flipkart.com/jaisom-small-15-l-classic-backpack-women-s-girls-black/p/itmfb6058ea9c741?pid=BKPHYBYZJZHWMHZN&lid=LSTBKPHYBYZJZHWMHZN9ZAR79&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_24&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPHYBYZJZHWMHZN.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPHYBYZJZHWMHZN,LSTBKPHYBYZJZHWMHZN9ZAR79
bags for men,1,https://www.flipkart.com/gear-classic-leather-without-anti-theft-28-l-laptop-backpack/p/itm819503bd77a13?pid=BKPGSHNGQJSVGGJB&lid=LSTBKPGSHNGQJSVGGJBJ5O3UF&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_25&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGSHNGQJSVGGJB.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGSHNGQJSVGGJB,LSTBKPGSHNGQJSVGGJBJ5O3UF
bags for men,1,https://www.flipkart.com/gear-classic-leather-without-anti-theft-28-l-laptop-backpack/p/itm3fe2cfc729d75?pid=BKPGSHNGJQHKGHWM&lid=LSTBKPGSHNGJQHKGHWMW0DYZT&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_26&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGSHNGJQHKGHWM.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGSHNGJQHKGHWM,LSTBKPGSHNGJQHKGHWMW0DYZT
bags for men,1,https://www.flipkart.com/safari-ashper-pro-35-l-laptop-backpack/p/itme09b2cec2d07a?pid=BKPH3SBHBKYSZUNC&lid=LSTBKPH3SBHBKYSZUNCJA0PGJ&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_27&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPH3SBHBKYSZUNC.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPH3SBHBKYSZUNC,LSTBKPH3SBHBKYSZUNCJA0PGJ
bags for men,1,https://www.flipkart.com/arctic-fox-black-drawstring-bag-15-l-backpack/p/itmc900936430027?pid=BKPFWGJSZU7NWCRH&lid=LSTBKPFWGJSZU7NWCRHURDIP3&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_28&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFWGJSZU7NWCRH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFWGJSZU7NWCRH,LSTBKPFWGJSZU7NWCRHURDIP3
bags for men,1,https://www.flipkart.com/monvelli-casual-laptop-backpack-men-women-boys-girls-office-40-l/p/itmba8ce6c039340?pid=BKPH3NSPZK4TUSAR&lid=LSTBKPH3NSPZK4TUSARXYDH1U&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_29&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPH3NSPZK4TUSAR.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPH3NSPZK4TUSAR,LSTBKPH3NSPZK4TUSARXYDH1U
bags for men,1,https://www.flipkart.com/safari-flux-24-l-backpack/p/itm42717ef89bc8b?pid=BKPH26DKNDT8ZBND&lid=LSTBKPH26DKNDT8ZBNDAAGJAH&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_30&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPH26DKNDT8ZBND.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPH26DKNDT8ZBND,LSTBKPH26DKNDT8ZBNDAAGJAH
bags for men,1,https://www.flipkart.com/mi-step-out-12-liters-water-repellent-backpack-l/p/itm189856be89811?pid=BKPFT348ARGYEKG7&lid=LSTBKPFT348ARGYEKG7WZ7SDJ&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_31&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFT348ARGYEKG7.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFT348ARGYEKG7,LSTBKPFT348ARGYEKG7WZ7SDJ
bags for men,1,https://www.flipkart.com/sky-spirit-backpack-large-50l-outdoor-sport-hiking-travel-bags-blue-50-l/p/itm64f04efa8d7bd?pid=BKPG9Y7XRFNZQYGZ&lid=LSTBKPG9Y7XRFNZQYGZVTYFUH&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_32&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPG9Y7XRFNZQYGZ.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPG9Y7XRFNZQYGZ,LSTBKPG9Y7XRFNZQYGZVTYFUH
bags for men,1,https://www.flipkart.com/provogue-spacy-unisex-rain-cover-reflective-strip-35-l-laptop-backpack/p/itmce53c623d9ebd?pid=BKPFUX5MHPYESGEA&lid=LSTBKPFUX5MHPYESGEAJFLY0Y&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_33&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFUX5MHPYESGEA.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFUX5MHPYESGEA,LSTBKPFUX5MHPYESGEAJFLY0Y
bags for men,1,https://www.flipkart.com/onego-casual-backpack-22-l-laptop/p/itm0a9abf4f7fcb5?pid=BKPFYPQGCCYAZS6Z&lid=LSTBKPFYPQGCCYAZS6Z9BCRHC&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_34&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFYPQGCCYAZS6Z.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFYPQGCCYAZS6Z,LSTBKPFYPQGCCYAZS6Z9BCRHC
bags for men,1,https://www.flipkart.com/stoic-daily-use-casual-travel-daypack-1-compartment-16-l-backpack/p/itmf8df728d53ea8?pid=BKPGWCDHVZ6U9SPF&lid=LSTBKPGWCDHVZ6U9SPFTOE1LN&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_35&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGWCDHVZ6U9SPF.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGWCDHVZ6U9SPF,LSTBKPGWCDHVZ6U9SPFTOE1LN
bags for men,1,https://www.flipkart.com/provogue-spacy-unisex-bag-rain-cover-reflective-strip-35-l-laptop-backpack/p/itmb780584e1c0a4?pid=BKPFXYYQHADBADMH&lid=LSTBKPFXYYQHADBADMHOQK3C9&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_36&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFXYYQHADBADMH.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFXYYQHADBADMH,LSTBKPFXYYQHADBADMHOQK3C9
bags for men,1,https://www.flipkart.com/pro-life-poliyester-school-college-multipurpose-20-l-backpack/p/itmfdgqgznjfg6ez?pid=BKPFDGMEWEAUTMEB&lid=LSTBKPFDGMEWEAUTMEBEUBFTL&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_37&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFDGMEWEAUTMEB.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFDGMEWEAUTMEB,LSTBKPFDGMEWEAUTMEBEUBFTL
bags for men,1,https://www.flipkart.com/skybags-brat-21-65-l-backpack/p/itmf61c24e9bf653?pid=BKPGF764GSZMWTFM&lid=LSTBKPGF764GSZMWTFMPOIVVR&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_38&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGF764GSZMWTFM.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGF764GSZMWTFM,LSTBKPGF764GSZMWTFMPOIVVR
bags for men,1,https://www.flipkart.com/bluejay-40l-casual-laptop-backpack-school-college-office-travel-bag-men-women-40-l/p/itm00b26330eed52?pid=BKPGKVBP9GN6MB4K&lid=LSTBKPGKVBP9GN6MB4K5DVVJM&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_39&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPGKVBP9GN6MB4K.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPGKVBP9GN6MB4K,LSTBKPGKVBP9GN6MB4K5DVVJM
bags for men,1,https://www.flipkart.com/wildcraft-daredevil-43-l-laptop-backpack/p/itmfejkcgrbkzfcr?pid=BKPFEJKC9EPKBMZG&lid=LSTBKPFEJKC9EPKBMZGTBKM0L&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_1_40&otracker=search&iid=86751566-b039-4aeb-980c-23f2b1d6e2bb.BKPFEJKC9EPKBMZG.SEARCH&ssid=hvhxky1kbk0000001736321841325&qH=684bbff5435a7c2e,BKPFEJKC9EPKBMZG,LSTBKPFEJKC9EPKBMZGTBKM0L
