search_term,page_number,link,pid,lid,title,price
bags for men,19,https://www.flipkart.com/arctic-fox-joker-anti-theft-black-23-l-laptop-backpack/p/itma7818f7b27f2d?pid=BKPFYYCYAAZN8AYR&lid=LSTBKPFYYCYAAZN8AYR7UJA6L&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_19_760&otracker=search&fm=organic&iid=2b89aedc-0152-49ca-a8f5-6e2e0b6f07a9.BKPFYYCYAAZN8AYR.SEARCH&ppt=sp&ppn=sp&ssid=32wbvke7jk0000001736321870277&qH=684bbff5435a7c2e,BKPFYYCYAAZN8AYR,LSTBKPFYYCYAAZN8AYR7UJA6L,Arctic Fox  Medium 23 L Laptop Backpack Joker Anti-Theft Black  (Black),"₹1,999"
bags for men,20,https://www.flipkart.com/anthub-office-business-travel-college-for-men-women-lightweight-1029-16-l-laptop-backpack/p/itmd9c8b8ac2c147?pid=BKPH6WWFHPJVUSAQ&lid=LSTBKPH6WWFHPJVUSAQO3JTOZ&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_761&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPH6WWFHPJVUSAQ.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPH6WWFHPJVUSAQ,LSTBKPH6WWFHPJVUSAQO3JTOZ,"ANTHUB  Small 16 L Backpack For Office/Business/Travel/College,For Men&Women LightWeight(1029)  (Blue, Blue)",₹229
bags for men,20,https://www.flipkart.com/anthub-laptop-backpack-1006-unisex-spacy-rain-cover-reflective-strip-35-l/p/itm3d128a98af7cb?pid=BKPGZ94GGP837ER2&lid=LSTBKPGZ94GGP837ER2WWTM77&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_762&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPGZ94GGP837ER2.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPGZ94GGP837ER2,LSTBKPGZ94GGP837ER2WWTM77,ANTHUB  Large 35 L Laptop Backpack Laptop Backpack 1006 Unisex Spacy with Rain Cover And Reflective Strip  (Blue),₹479
bags for men,20,https://www.flipkart.com/greenlands-sg-quad-45-adjustable-straps-backpack-school-college-laptop-travel-bags-men-women-l/p/itm743c380cdde1d?pid=BKPFXGUJY8H8ZEHD&lid=LSTBKPFXGUJY8H8ZEHD0XGGDL&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_763&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPFXGUJY8H8ZEHD.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPFXGUJY8H8ZEHD,LSTBKPFXGUJY8H8ZEHD0XGGDL,GreenLands  by SG QUAD 45 Large 45 L Laptop Backpack Adjustable Straps Backpack For School College Laptop Travel Bags For Men & Women  (Grey),"₹1,741"
bags for men,20,https://www.flipkart.com/dowet-backpack-monstax-4-15-l/p/itmee04ad5093703?pid=BKPGWYGG75HTNEM6&lid=LSTBKPGWYGG75HTNEM6FVID8K&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_764&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPGWYGG75HTNEM6.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPGWYGG75HTNEM6,LSTBKPGWYGG75HTNEM6FVID8K,Dowet  Small 15 L Backpack BACKPACK MONSTAX_4  (Pink),₹349
bags for men,20,https://www.flipkart.com/elcompro-20-l-backpack-women-s-multipurpose-design-handbags-shoulder-bag/p/itm2ca21c8fb19e0?pid=BKPGG8DXDVGE7D2J&lid=LSTBKPGG8DXDVGE7D2JXSSXGX&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_765&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPGG8DXDVGE7D2J.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPGG8DXDVGE7D2J,LSTBKPGG8DXDVGE7D2JXSSXGX,Elcompro  Small 20 L Backpack 20 L Backpack Women's Backpack Multipurpose Design Handbags and Shoulder Bag  (Black),₹699
bags for men,20,https://www.flipkart.com/sbcollection-unisex-light-weight-laptop-bag-day-use-office-business-college-lab-29-l-backpack/p/itm00c7b331fae12?pid=BKPGZ5N94MAPR5QG&lid=LSTBKPGZ5N94MAPR5QGO9CH5Y&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_766&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPGZ5N94MAPR5QG.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPGZ5N94MAPR5QG,LSTBKPGZ5N94MAPR5QGO9CH5Y,"SBCOLLECTION  Medium 29 L Backpack Unisex Light Weight Laptop Bag for Day to Day Use Office Business College Lab  (Black, Blue)",₹279
bags for men,20,https://www.flipkart.com/impulse-astro-unisex-stylish-trendy-bag-college-travel-bag-school-bag-boys-girls-27-l-backpack/p/itma14a30ad1267d?pid=BKPGYEZQZEUYHVYG&lid=LSTBKPGYEZQZEUYHVYGKUKTZ1&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_767&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPGYEZQZEUYHVYG.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPGYEZQZEUYHVYG,LSTBKPGYEZQZEUYHVYGKUKTZ1,"IMPULSE  Medium 27 L Laptop Backpack Astro Unisex Stylish &Trendy Bag, College travel Bag,School Bag for boys & girls  (Blue)",₹649
bags for men,20,https://www.flipkart.com/dowet-trendy-bunny-backpack-girls-school-tution-office-bags-girls-4-10-l/p/itmb396bb7c14d16?pid=BKPGWYGHFXXBY4H7&lid=LSTBKPGWYGHFXXBY4H7VMGWSH&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_768&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPGWYGHFXXBY4H7.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPGWYGHFXXBY4H7,LSTBKPGWYGHFXXBY4H7VMGWSH,Dowet  Small 10 L Backpack | Trendy Bunny Backpack For Girls | School/Tution/Office Bags For Girls_4  (Black),₹299
bags for men,20,https://www.flipkart.com/lino-perros-women-backpack-13-inch/p/itmf91aea871c950?pid=BKPG5YF4KGZYUEUR&lid=LSTBKPG5YF4KGZYUEURYVYNSX&marketplace=FLIPKART&q=bags+for+men&store=search.flipkart.com&srno=s_20_769&otracker=search&fm=organic&iid=d3e0f80b-8e5e-4999-b52a-e251ad0c487f.BKPG5YF4KGZYUEUR.SEARCH&ppt=sp&ppn=sp&ssid=kqset1ok9c0000001736321871912&qH=684bbff5435a7c2e,BKPG5YF4KGZYUEUR,LSTBKPG5YF4KGZYUEURYVYNSX,LINO PERROS  Small 13 Inch Backpack Women Backpack  (Pink),"₹1,099"
